,state,count
0,CA,72260
1,NY,44495
2,TX,30046
3,CO,28292
4,MA,25816
5,IL,23581
6,PA,22128
7,WA,21166
8,MI,19426
9,NJ,19364
10,FL,19085
11,VA,17305
12,NC,17073
13,OH,15525
14,UT,14073
15,GA,13422
16,MN,12437
17,OR,12276
18,MD,11959
19,WI,11217
20,CT,11055
21,TN,10738
22,IN,8151
23,AZ,7540
24,MO,7306
25,SC,6836
26,AL,6341
27,NH,5893
28,ID,5278
29,KY,5117
30,MT,5086
31,OK,5052
32,LA,4648
33,IA,4576
34,ME,4271
35,AR,4253
36,KS,3979
37,NV,3702
38,VT,3633
39,NM,3414
40,AK,3327
41,MS,3180
42,DE,2927
43,NE,2662
44,WY,2637
45,DC,2576
46,RI,2540
47,WV,2088
48,HI,2060
49,SD,1769
50,ND,1582
51,AE,582
52,PR,435
53,AP,331
54,GU,64
55,VI,45
56,AA,20
57,MP,9
58,PW,6
59,FM,2
60,AS,1
